仕舞い,シマイ
祖父,ソフ
謹白,キンパク
焼き芋,ヤキイモ
繻子,シュス
集客,シュウキャク
同人,ドウジン
バンパー,バンパー
中軸,チュウジク
益友,エキユウ
常,ツネ
カソリック,カソリック
俗眼,ゾクガン
達意,タツイ
親切心,シンセツシン
色素,シキソ
土間,ドマ
起点,キテン
絶好調,ゼッコウチョウ
二上り新内,ニアガリシンナイ
兵事,ヘイジ
バイエル,バイエル
口開け,クチアケ
物乞い,モノゴイ
過客,カカク
諷意,フウイ
落ち込み,オチコミ
古刹,コサツ
生ゴム,ナマゴム
累卵,ルイラン
癰,ヨウ
ユニテリアン,ユニテリアン
心得,ココロエ
トがき,トガキ
侍講,ジコウ
デルマトール,デルマトール
ツーピース,ツーピース
書契,ショケイ
腰ひも,コシヒモ
刻み足,キザミアシ
県議会,ケンギカイ
月割,ツキワリ
Ｗｅｂ,Ｗｅｂ
冷床,レイショウ
雛の節句,ヒナノセック
モビル油,モビルユ
原点,ゲンテン
ナマズ,ナマズ
後者,コウシャ
乱筆,ランピツ
連曲,レンキョク
袋帯,フクロオビ
茶托,チャタク
蓑龜,ミノガメ
南北,ナンボク
セラミック,セラミック
セックス,セックス
効率,コウリツ
正比例,セイヒレイ
レクリエーション,レクリエーション
保護色,ホゴショク
水飲み,ミズノミ
居室,キョシツ
かみ合わせ,カミアワセ
口琴,コウキン
同誌,ドウシ
雛罌粟,ヒナゲシ
てんこ盛り,テンコモリ
成体,セイタイ
願人,ガンニン
双,ソウ
所縁,ショエン
所縁,ユカリ
物覚え,モノオボエ
天象,テンショウ
戦域,センイキ
れん,レン
シネマスコープ,シネマスコープ
阿媽,アマ
鍬形虫,クワガタムシ
レインコート,レインコート
簡勁,カンケイ
フェアプレー,フェアプレー
釣り針,ツリバリ
ロック,ロック
手料理,テリョウリ
中手,ナカテ
家並み,イエナミ
事件,ジケン
騰落,トウラク
バギナ,バギナ
現,ゲン
現,ウツツ
つき合い,ツキアイ
反動,ハンドウ
いろり,イロリ
終油礼,シュウユレイ
副審,フクシン
杓,ヒシャク
杓,シャク
社会民主党,シャカイミンシュトウ
目許,メモト
踊り場,オドリバ
趣き,オモムキ
全作,ゼンサク
手榴弾,テリュウダン
手榴弾,シュリュウダン
わな,ワナ
ダッシュボード,ダッシュボード
偽名,ギメイ
潮干狩,シオヒガリ
英断,エイダン
恒久,コウキュウ
ヘリカルポテンショメータ,ヘリカルポテンショメータ
提督,テイトク
平民,ヘイミン
ペーパータオル,ペーパータオル
田吾作,タゴサク
下火,シタビ
ベストスリー,ベストスリー
万人,バンニン
そで口,ソデグチ
禅門,ゼンモン
乾せん,カンセン
玉石,ギョクセキ
玉石,タマイシ
面食い,メンクイ
花相撲,ハナズモウ
水筒,スイトウ
隣地,リンチ
道内,ドウナイ
天朝,テンチョウ
警務,ケイム
岩窟,ガンクツ
暈繝,ウンゲン
糸車,イトグルマ
オノボリさん,オノボリサン
両さん,リョウサン
勃然,ボツゼン
鯖雲,サバグモ
塩酸,エンサン
天鵞絨,ビロウド
不成績,フセイセキ
視学,シガク
フレンチ,フレンチ
狂い,クルイ
憐愍,レンビン
祥瑞,ショウズイ
難民,ナンミン
得々,トクトク
リーブス,リーブス
盆踊り,ボンオドリ
畝織,ウネオリ
内科,ナイカ
手ぬき,テヌキ
キクナ,キクナ
有価,ユウカ
バイオニクス,バイオニクス
角形,カクガタ
要人,ヨウジン
在家,ザイケ
綱領,コウリョウ
ストローハット,ストローハット
開運,カイウン
沙,スナ
沙,イサゴ
張り手,ハリテ
節句,セック
店子,タナコ
儀容,ギヨウ
貴方任せ,アナタマカセ
大祭,タイサイ
別間,ベツマ
二度咲き,ニドザキ
正篇,セイヘン
都会,トカイ
薄刃,ウスバ
高誼,コウギ
公設,コウセツ
音頭,オンド
衆道,シュドウ
幽愁,ユウシュウ
ボーロ,ボーロ
亜低木,アテイボク
釣り合い,ツリアイ
地ひびき,ジヒビキ
構図,コウズ
宛て,アテ
セレクタチャネル,セレクタチャネル
付け落し,ツケオトシ
孤絶,コゼツ
寝覚め,ネザメ
尿意,ニョウイ
教科,キョウカ
花茎,カケイ
カマボコ,カマボコ
お金,オカネ
晩景,バンケイ
硼素,ホウソ
取り合い,トリアイ
撥鬢,バチビン
照れ,テレ
ブル,ブル
所与,ショヨ
エアバッグ,エアバッグ
ジャックナイフ,ジャックナイフ
クロニクル,クロニクル
帆綱,ホヅナ
略体,リャクタイ
こう丸,コウガン
地面,ジメン
静墨,セイボク
最後っ屁,サイゴッペ
木裏,キウラ
寄せ木,ヨセギ
弊衣,ヘイイ
血統,ケットウ
霊像,レイゾウ
浜荻,ハマオギ
喨々,リョウリョウ
折り箱,オリバコ
ナックルフォア,ナックルフォア
干ばつ,カンバツ
オーソドックス,オーソドックス
ぎょしゃ,ギョシャ
地裁,チサイ
懸軍,ケングン
惜しげ,オシゲ
霊智,レイチ
通り掛け,トオリガケ
卵巣,ランソウ
血まみれ,チマミレ
ブルーズ,ブルーズ
テングサ,テングサ
パステルカラー,パステルカラー
光学,コウガク
実直,ジッチョク
変種,ヘンシュ
泳ぎ,オヨギ
谿流,ケイリュウ
膏血,コウケツ
廷丁,テイテイ
祝舞,イワイマイ
悪血,アクチ
悪血,オケツ
席題,セキダイ
アキレス腱,アキレスケン
肋間,ロッカン
ひと幕,ヒトマク
特産,トクサン
階梯,カイテイ
切掛け,キリカケ
醤蝦,アミ
多次元,タジゲン
ファイナンス,ファイナンス
射幸,シャコウ
雅楽器,ガガッキ
与件,ヨケン
下町風,シタマチフウ
西人,セイジン
現代病,ゲンダイビョウ
文身,イレズミ
文身,ブンシン
蓍,メドギ
雄滝,オダキ
酒樽,サカダル
書割,カキワリ
白露,シラツユ
白露,ハクロ
彌次郎兵衛,ヤジロベエ
体躯,タイク
チャンピオン,チャンピオン
供御,クゴ
洋種,ヨウシュ
繧繝,ウンゲン
内ぶろ,ウチブロ
尻つき,シリツキ
トビウオ,トビウオ
戦乱,センラン
別箇,ベッコ
権利,ケンリ
王位,オウイ
梅暦,ウメゴヨミ
ジャケット,ジャケット
笏,シャク
無風,ムフウ
ジャイロスコープ,ジャイロスコープ
本状,ホンジョウ
紛々,フンプン
駄馬,ダバ
駄馬,ダウマ
マガモ,マガモ
美境,ビキョウ
バイタリティ,バイタリティ
はちゅう類,ハチュウルイ
怯懦,キョウダ
街角,マチカド
クロック,クロック
免罪,メンザイ
勅諚,チョクジョウ
生き別れ,イキワカレ
味,アジ
ホルダー,ホルダー
一別以来,イチベツイライ
マーキュロ,マーキュロ
菟,ウサギ
パニック,パニック
腺,セン
不謹慎,フキンシン
守り本尊,マモリホンゾン
唐菜,トウナ
木斛,モッコク
形勝,ケイショウ
アフタ,アフタ
後任,コウニン
同士打,ドウシウチ
前妻,ゼンサイ
吟遊詩人,ギンユウシジン
無位,ムイ
フォームラバー,フォームラバー
局部,キョクブ
仮綴,カリトジ
逆蜻蛉,サカトンボ
野次馬,ヤジウマ
稲熱病,イモチビョウ
親潮,オヤシオ
凡常,ボンジョウ
図画,ズガ
頭蓋骨,ズガイコツ
他人,タニン
痺れ,シビレ
庵主,アンシュ
おごのり,オゴノリ
金環,キンカン
潰瘍,カイヨウ
惨状,サンジョウ
矢車,ヤグルマ
樟,クスノキ
樟,クス
のど元,ノドモト
衣服,イフク
具,グ
蔵人所,クロウドドコロ
粗製,ソセイ
けつ,ケツ
畑作,ハタサク
順養子,ジュンヨウシ
合い札,アイフダ
湯水,ユミズ
気運,キウン
兵力,ヘイリョク
迫力,ハクリョク
黒焼,クロヤキ
目標,モクヒョウ
デタント,デタント
縫目,ヌイメ
綿帽子,ワタボウシ
言出しっぺ,イイダシッペ
叢林,ソウリン
泊り明け,トマリアケ
オゾン,オゾン
つづれさせ,ツヅレサセ
中間子,チュウカンシ
独眼竜,ドクガンリュウ
尋,ヒロ
アラメ,アラメ
えい児,エイジ
天譴,テンケン
樽,タル
戦役,センエキ
頭金,アタマキン
大仏,ダイブツ
オルランド,オルランド
産米,サンマイ
星屑,ホシクズ
フラストレーション,フラストレーション
脳神経,ノウシンケイ
シャンピニオン,シャンピニオン
枕ことば,マクラコトバ
アクロバチック,アクロバチック
オペレーションズ,オペレーションズ
聞所,キキドコロ
ワビスケ,ワビスケ
積み重ね,ツミカサネ
はまり役,ハマリヤク
傾向,ケイコウ
フラダンス,フラダンス
玉子とじ,タマゴトジ
砲門,ホウモン
売笑,バイショウ
遊び女,アソビメ
天井板,テンジョウイタ
スカール,スカール
澱粉,デンプン
おまかせ,オマカセ
両町,リョウチョウ
荘重,ソウチョウ
他称,タショウ
横型,ヨコガタ
業界,ギョウカイ
純分,ジュンブン
血尿,ケツニョウ
フェアリー,フェアリー
剛胆,ゴウタン
法域,ホウイキ
爪音,ツマオト
明りさき,アカリサキ
主題,シュダイ
根瘤,コンリュウ
身二つ,ミフタツ
版本,ハンポン
語学,ゴガク
横筋,ヨコスジ
ゆるずめ,ユルズメ
チャーシュー,チャーシュー
折鞄,オリカバン
玉鬘,タマカズラ
桁,ケタ
着たきりすずめ,キタキリスズメ
チアノーゼ,チアノーゼ
割り箸,ワリバシ
悲しみ,カナシミ
もちの木,モチノキ
キャピタリズム,キャピタリズム
氷菓子,コオリガシ
方眼,ホウガン
ミヤイリガイ,ミヤイリガイ
腺腫,センシュ
テキスタイル,テキスタイル
とつ,トツ
四畳半,ヨジョウハン
下職,シタショク
半途,ハント
賢婦人,ケンプジン
鹿子斑,カノコマダラ
麦茶,ムギチャ
一線,イッセン
石茸,イワタケ
貸本,カシホン
コンシューマ,コンシューマ
文才,ブンサイ
工み,タクミ
空家,アキヤ
セールス,セールス
ソヌス,ソヌス
一昨昨月,イッサクサクゲツ
気根,キコン
産地,サンチ
代掻き,シロカキ
ローズマリー,ローズマリー
長電話,ナガデンワ
ブラウザー,ブラウザー
鉱層,コウソウ
所出,ショシュツ
旅商人,タビアキンド
拾物,ヒロイモノ
日報,ニッポウ
タイムトンネル,タイムトンネル
神国,シンコク
利己,リコ
瑞穂,ミズホ
神助,シンジョ
汚俗,オゾク
機屋,ハタヤ
記号,キゴウ
ひと癖,ヒトクセ
支社,シシャ
リストラクチャリング,リストラクチャリング
落葉樹,ラクヨウジュ
合従連衡,ガッショウレンコウ
万民,バンミン
みやげ物,ミヤゲモノ
膝栗毛,ヒザクリゲ
鷹飼,タカガイ
歳晩,サイバン
エンジン,エンジン
端切れ,ハギレ
下帯,シタオビ
ぬくもり,ヌクモリ
ビジョザクラ,ビジョザクラ
古典,コテン
貼紙,ハリガミ
上げ舵,アゲカジ
不正,フセイ
法話,ホウワ
精神分裂病,セイシンブンレツビョウ
寄手,ヨセテ
褒美,ホウビ
積み増し,ツミマシ
乎古止点,ヲコトテン
年がら年中,ネンガラネンジュウ
ホルン,ホルン
構文,コウブン
判子,ハンコ
米ドル,アメリカドル
凡そ,オヨソ
リエントラント,リエントラント
乱れ,ミダレ
シャモ,シャモ
意気地無し,イクジナシ
割り前,ワリマエ
ピンボード,ピンボード
通りすがり,トオリスガリ
巨擘,キョハク
マロン,マロン
茶飯,チャメシ
仏教徒,ブッキョウト
頚木,クビキ
怒髪,ドハツ
ひろば,ヒロバ
ジャンボ,ジャンボ
詩仙,シセン
人物,ジンブツ
プラスチックキャップ,プラスチックキャップ
ノーサイド,ノーサイド
釣天狗,ツリテング
並幅,ナミハバ
決河,ケッカ
カタログプロシージャ,カタログプロシージャ
スプリンクラー,スプリンクラー
丼,ドンブリ
書抜,カキヌキ
本屋,ホンヤ
不合理,フゴウリ
天然記念物,テンネンキネンブツ
後ろ姿,ウシロスガタ
山犬,ヤマイヌ
気分,キブン
朴念仁,ボクネンジン
円価,エンカ
直腸,チョクチョウ
ボールペン,ボールペン
入夫,ニュウフ
めど,メド
畠,ハタ
畠,ハタケ
試筆,シヒツ
下級,カキュウ
刺虫,イラムシ
飯櫃,メシビツ
表意,ヒョウイ
ジルコン,ジルコン
分ち書き,ワカチガキ
夜郎自大,ヤロウジダイ
草木,クサキ
草木,ソウモク
宗風,シュウフウ
都議,トギ
ＤＡＴＥ,デイト
糸杉,イトスギ
長剣,チョウケン
仕立下し,シタテオロシ
祝辞,シュクジ
ケット,ケット
竈,カマド
心掛り,ココロガカリ
木瓜,ボケ
吹きさらし,フキサラシ
前払,マエバライ
擦疵,スリキズ
光量子,コウリョウシ
折れくち,オレクチ
イワツツジ,イワツツジ
貴紙,キシ
えん戦,エンセン
極所,キョクショ
待針,マチバリ
日雇い,ヒヤトイ
カネ,カネ
風邪ひき,カゼヒキ
兵仗,ヒョウジョウ
兵仗,ヘイジョウ
クローバ,クローバ
てのもの,テノモノ
見栄張り,ミエッパリ
富商,フショウ
愕然,ガクゼン
思春,シシュン
雷雨,ライウ
焦げ茶,コゲチャ
寄木,ヨセギ
刺青,シセイ
刺青,イレズミ
肺水しゅ,ハイスイシュ
まめ,マメ
智嚢,チノウ
壮図,ソウト
仲店,ナカミセ
マスクメロン,マスクメロン
仲働き,ナカバタラキ
生シイタケ,ナマシイタケ
同名異人,ドウメイイジン
ブローニング,ブローニング
キャラクタディスプレイ,キャラクタディスプレイ
４つ,ヨッツ
プレスト,プレスト
魁偉,カイイ
碌碌,ロクロク
炭手前,スミテマエ
モジュール,モジュール
空文字,クウモジ
躑躅,ツツジ
気韻,キイン
繊維,センイ
踏絵,フミエ
硯材,ケンザイ
ストーブ,ストーブ
鮓,スシ
伝書,デンショ
プラネタリウム,プラネタリウム
プラネタリウム,プラネタリウム
かけ,カケ
立ち上り,タチアガリ
ベター,ベター
メモリアル,メモリアル
水揚げ,ミズアゲ
ソツ,ソツ
智歯,チシ
体積,タイセキ
サンシキスミレ,サンシキスミレ
猪口,チョコ
樽俎折衝,ソンソセッショウ
ハイパント,ハイパント
彦星,ヒコボシ
英ポンド,イギリスポンド
からかい,カラカイ
温容,オンヨウ
蔵浚え,クラザラエ
大株主,オオカブヌシ
羊水,ヨウスイ
塩漬け,シオヅケ
ダイナミズム,ダイナミズム
帝王,テイオウ
リダクション,リダクション
わが子,ワガコ
頬髭,ホオヒゲ
戸数割,コスウワリ
噴水,フンスイ
小宇宙,ショウウチュウ
アルミナ,アルミナ
僧形,ソウギョウ
織姫,オリヒメ
被子植物,ヒシショクブツ
焼け野が原,ヤケノガハラ
ノロ,ノロ
無印,ムジルシ
トリプレット,トリプレット
不眠症,フミンショウ
レパートリー,レパートリー
男役,オトコヤク
お触れ,オフレ
足元,アシモト
秀,シュウ
バレエ,バレエ
バレエ,バレエ
補元律,ホゲンリツ
諸諸,モロモロ
ペン,ペン
権現,ゴンゲン
湯飲み,ユノミ
昼めし,ヒルメシ
買溜め,カイダメ
茄子紺,ナスコン
軍鶏,シャモ
疥癬,カイセン
フレーク,フレーク
ブタノール,ブタノール
試料,シリョウ
イリオモテヤマネコ,イリオモテヤマネコ
覆輪,フクリン
延棹,ノベザオ
才知,サイチ
悲喜,ヒキ
ダム,ダム
野花,ノバナ
後夜,ゴヤ
裏店,ウラダナ
勲功,クンコウ
前約,ゼンヤク
スプーン,スプーン
蓄電器,チクデンキ
沈鐘,チンショウ
万巻,マンガン
プッシュホン,プッシュホン
かわら,カワラ
うえ,ウエ
私塾,シジュク
粗木,アラキ
帆,ホ
明り先,アカリサキ
熱熱,アツアツ
徹宵,テッショウ
財経,ザイケイ
文理,ブンリ
著,チョ
ひとっこ,ヒトッコ
組子,クミコ
バーチャルコール,バーチャルコール
ペシミズム,ペシミズム
枝被覆,エダヒフク
酒焼け,サカヤケ
隣合せ,トナリアワセ
ナショナリスト,ナショナリスト
藁沓,ワラグツ
夏痩せ,ナツヤセ
郵船,ユウセン
頭数,トウスウ
頭数,アタマカズ
奇手,キシュ
伊呂波歌留多,イロハガルタ
有意瞬間,ユウイシュンカン
編者,ヘンシャ
編者,ヘンジャ
逃道,ニゲミチ
総高,ソウダカ
間取り,マドリ
銀将,ギンショウ
リクライニング,リクライニング
産み月,ウミヅキ
傘,カサ
近臣,キンシン
卓見,タッケン
黒こげ,クロコゲ
和議,ワギ
ぼうこう,ボウコウ
救民,キュウミン
十六大角豆,ジュウロクササゲ
生保,セイホ
押鮨,オシズシ
矢声,ヤゴエ
ひとまず,ヒトマズ
別段,ベツダン
迂生,ウセイ
近古,キンコ
胴上げ,ドウアゲ
ベージュ,ベージュ
シナプス,シナプス
国喪,コクソウ
石だたみ,イシダタミ
訴額,ソガク
突角,トッカク
借り方,カリカタ
禁園,キンエン
新参,シンザン
無言,ムゴン
ほくろ,ホクロ
小鬢,コビン
範ちゅう,ハンチュウ
はしご乗り,ハシゴノリ
地峡,チキョウ
消化腺,ショウカセン
データハイウェイ,データハイウェイ
岡目八目,オカメハチモク
切りごたつ,キリゴタツ
タンチョウ,タンチョウ
小型ロボット,コガタロボット
キャスチングボート,キャスチングボート
葦戸,ヨシド
測定機,ソクテイキ
ログハウス,ログハウス
電装,デンソウ
一極,イッキョク
嘘八百,ウソハッピャク
噛み煙草,カミタバコ
モモ,モモ
レンタサイクル,レンタサイクル
云,ウン
アカデミズム,アカデミズム
精彩,セイサイ
賀意,ガイ
コードバン,コードバン
ランチ,ランチ
あて名,アテナ
きぬぎぬ,キヌギヌ
なにがし,ナニガシ
ＡＤ,エイディー
曲りなり,マガリナリ
共和,キョウワ
夕べ,ユウベ
ハラごなし,ハラゴナシ
アルミ,アルミ
詫び,ワビ
方,カタ
薄日,ウスビ
Ｆ３０００,エフサンゼン
左舷,サゲン
震源,シンゲン
止めど,トメド
食上げ,クイアゲ
佳人,カジン
御伽草子,オトギゾウシ
問い直し,トイナオシ
一心不乱,イッシンフラン
熱容量,ネツヨウリョウ
十三夜,ジュウサンヤ
分身,ブンシン
威厳,イゲン
手ごろ,テゴロ
碁客,ゴカク
ポスト,ポスト
禽獣,キンジュウ
骨牌,カルタ
骨牌,コッパイ
この世,コノヨ
押問答,オシモンドウ
オートマティズム,オートマティズム
摘み菜,ツマミナ
部課,ブカ
産道,サンドウ
カイドウ,カイドウ
天が下,アメガシタ
直定数,チョクテイスウ
穂波,ホナミ
サボテン,サボテン
暖海,ダンカイ
巻末,カンマツ
産科,サンカ
じゃっぱ汁,ジャッパジル
気圏,キケン
栓塞,センソク
内壁,ナイヘキ
干天,カンテン
月世界,ゲッセカイ
邸宅,テイタク
聞取り,キキトリ
ご両人,ゴリョウニン
割戻し,ワリモドシ
賤業,センギョウ
キクイタダキ,キクイタダキ
閣員,カクイン
ハモニカ,ハモニカ
横綱,ヨコヅナ
縫針,ヌイバリ
縫針,ヌイハリ
鱒,マス
いさかい,イサカイ
驕児,キョウジ
ピュレ,ピュレ
是,ゼ
オーバーレイ,オーバーレイ
霊媒,レイバイ
つま,ツマ
相恩,ソウオン
連木,レンギ
主文,シュブン
販売元,ハンバイモト
常打,ジョウウチ
大知,タイチ
ＯＫ,オーケイ
外まわり,ソトマワリ
サンショウ,サンショウ
息女,ソクジョ
人海,ジンカイ
私家版,シカバン
奇,キ
秘奥,ヒオウ
荒筵,アラムシロ
うこぎ,ウコギ
ガンピシ,ガンピシ
さつま揚げ,サツマアゲ
訴因,ソイン
異同,イドウ
神州,シンシュウ
手絡,テガラ
歳費,サイヒ
子鹿,コジカ
鬼謀,キボウ
投銭,ナゲセン
劇甚,ゲキジン
アップルパイ,アップルパイ
貸費,タイヒ
座金,ザガネ
頭皮,トウヒ
ハードル,ハードル
際物,キワモノ
国情,コクジョウ
少女さび,オトメサビ
バンク,バンク
ゲイ,ゲイ
おひたし,オヒタシ
好餌,コウジ
幹竹,カラタケ
思いのほか,オモイノホカ
慾望,ヨクボウ
抜け毛,ヌケゲ
三つ,ミッツ
女,オンナ
女,ジョ
揉み手,モミデ
常緑,ジョウリョク
よし,ヨシ
トウロウ,トウロウ
五黄,ゴオウ
写字,シャジ
和漢洋,ワカンヨウ
カドリール,カドリール
目の子算,メノコザン
インテリア,インテリア
クロール,クロール
超自然,チョウシゼン
瀧,タキ
おろし金,オロシガネ
紺色,コンイロ
日脚,ヒアシ
値幅,ネハバ
貿易尻,ボウエキジリ
幕屋,マクヤ
ソフトウェアシステム,ソフトウェアシステム
セミトレーラー,セミトレーラー
早馬,ハヤウマ
テープ,テープ
クマ,クマ
許婚,キョコン
ファンド,ファンド
陵,リョウ
陵,ミササギ
陵,オカ
乱れ箱,ミダレバコ
為替,カワセ
球茎,キュウケイ
過剰,カジョウ
公選法,コウセンホウ
障碍,ショウガイ
障碍,ショウゲ
タマムシ,タマムシ
西表山猫,イリオモテヤマネコ
繁多,ハンタ
親善,シンゼン
雪隠,セッチン
片岡,カタオカ
乳酸菌,ニュウサンキン
焼きリンゴ,ヤキリンゴ
おこた,オコタ
非等価,ヒトウカ
帰途,キト
廻廊,カイロウ
丁字,テイジ
糸作り,イトヅクリ
弓張提灯,ユミハリヂョウチン
魚油,ギョユ
濡れ場,ヌレバ
石油,セキユ
食いかけ,クイカケ
ラブ,ラブ
アブストラクト,アブストラクト
要理,ヨウリ
ケゴ,ケゴ
ひたかくし,ヒタカクシ
マリンバ,マリンバ
高低,コウテイ
高低,タカヒク
洋銀,ヨウギン
片仮名,カタカナ
がけ崩れ,ガケクズレ
極大,キョクダイ
白キクラゲ,シロキクラゲ
街路,ガイロ
豆油,ゴ
目付き,メツキ
犬ぞり,イヌゾリ
町はずれ,マチハズレ
お手玉,オテダマ
忌憚,キタン
幽門,ユウモン
試験場,シケンジョウ
鼻下長,ビカチョウ
ミサ,ミサ
善哉,ゼンザイ
マルチワーク,マルチワーク
出合頭,デアイガシラ
殺那,セツナ
粗菓,ソカ
豪商,ゴウショウ
犬張子,イヌハリコ
コウチョウ,コウチョウ
私鉄,シテツ
セイウチ,セイウチ
手向け,タムケ
史蹟,シセキ
竹やぶ,タケヤブ
切篭灯篭,キリコドウロウ
馬匹,バヒツ
准,ジュン
人定,ジンテイ
閑日月,カンジツゲツ
天王山,テンノウザン
アレグロ,アレグロ
驢馬,ロバ
掃除屋,ソウジヤ
蒲焼,カバヤキ
乱塊,ランカイ
有り金,アリガネ
探り足,サグリアシ
旧居,キュウキョ
上聞,ジョウブン
家長,カチョウ
ウエス,ウエス
消暑,ショウショ
株式,カブシキ
四肢,シシ
パネリスト,パネリスト
喫茶店,キッサテン
密謀,ミツボウ
くだん,クダン
捨身,ステミ
捨身,シャシン
深部,シンブ
毒茸,ドクタケ
亜潅木,アカンボク
ごぼう,ゴボウ
定礎,テイソ
体,カラダ
体,テイ
コゴメバナ,コゴメバナ
木強漢,ボッキョウカン
ワーストワン,ワーストワン
キスリング,キスリング
甘グリ,アマグリ
歴代,レキダイ
便,ビン
便,ベン
牧牛,ボクギュウ
スニーカー,スニーカー
ケア,ケア
石印,セキイン
素っぱだか,スッパダカ
セルフチェッキング,セルフチェッキング
省,ショウ
好一対,コウイッツイ
雄,ユウ
雄,オス
雄,オ
天然,テンネン
行行子,ギョウギョウシ
焼石膏,ショウセッコウ
喉頭蓋,コウトウガイ
坐込み,スワリコミ
ウグイ,ウグイ
円タク,エンタク
概要,ガイヨウ
陰乾し,カゲボシ
ナチズム,ナチズム
無任所,ムニンショ
垢擦り,アカスリ
母集団,ボシュウダン
遍照,ヘンジョウ
定冠詞,テイカンシ
疵物,キズモノ
善意,ゼンイ
くずし書き,クズシガキ
米どころ,コメドコロ
イニシアル,イニシアル
薄化粧,ウスゲショウ
舎監,シャカン
歌祭文,ウタザイモン
伝法肌,デンボウハダ
俗才,ゾクサイ
対症療法,タイショウリョウホウ
出出し,デダシ
椋の木,ムクノキ
非成層,ヒセイソウ
野鼠,ノネズミ
勇姿,ユウシ
地球儀,チキュウギ
書聖,ショセイ
先住,センジュウ
けしゴム,ケシゴム
追羽子,オイハゴ
念晴らし,ネンバラシ
家探し,ヤサガシ
ふぐり,フグリ
定期,テイキ
鉄火場,テッカバ
ムッター,ムッター
就縛,シュウバク
プレス,プレス
版下,ハンシタ
サスペンダー,サスペンダー
農作物,ノウサクモツ
農作物,ノウサクブツ
山歩き,ヤマアルキ
三三九度,サンサンクド
所司,ショシ
通信員,ツウシンイン
薮枯し,ヤブガラシ
格外,カクガイ
かしく,カシク
オーソリテイー,オーソリテイー
旋律,センリツ
僧,ソウ
一介,イッカイ
里程,リテイ
年金,ネンキン
かゆみ,カユミ
老婢,ロウヒ
多分,タブン
体力,タイリョク
片ちんば,カタチンバ
梵語,ボンゴ
管見,カンケン
いしなぎ,イシナギ
フライデー,フライデー
もんどり,モンドリ
反歩,タンブ
巻狩,マキガリ
ワサビ田,ワサビダ
目録,モクロク
面,メン
面,ツラ
面,オモテ
吹奏楽,スイソウガク
新刀,シントウ
法弟,ホウテイ
ブルーカラー,ブルーカラー
特色,トクショク
つとめて,ツトメテ
メドギ,メドギ
海産物,カイサンブツ
四面楚歌,シメンソカ
胃腸,イチョウ
忍法,ニンポウ
オーディット,オーディット
遊士,ユウシ
キーパンチャー,キーパンチャー
債権,サイケン
こまねずみ,コマネズミ
巨巖,キョガン
シノプシス,シノプシス
考え物,カンガエモノ
隠し芸,カクシゲイ
知識,チシキ
リンゴ,リンゴ
痰吐き,タンハキ
腕白,ワンパク
腕白,ワンバク
六花,ロッカ
骨抜き,ホネヌキ
領水,リョウスイ
厄難,ヤクナン
小寒,ショウカン
ぐい飲み,グイノミ
尾ヒレ,オヒレ
受け皿,ウケザラ
知性,チセイ
でっ歯,デッパ
バリケード,バリケード
略章,リャクショウ
眠りぐすり,ネムリグスリ
御面相,ゴメンソウ
一軒家,イッケンヤ
元職,ゲンショク
ウオーキング,ウオーキング
親ばか,オヤバカ
甘薯,カンショ
利幅,リハバ
婿取り,ムコトリ
種板,タネイタ
前作,ゼンサク
潜水病,センスイビョウ
蛆虫,ウジムシ
店舗,テンポ
屑,クズ
連れっ子,ツレッコ
公課,コウカ
蜜,ミツ
暗証,アンショウ
ティシュー,ティシュー
大水,オオミズ
ホタテ,ホタテ
寝顔,ネガオ
種子島,タネガシマ
任意,ニンイ
透かし織,スカシオリ
ＵＦＯ,ユーエフオー
ＵＦＯ,ユーフォー
汁もの,シルモノ
移ろい,ウツロイ
浬,カイリ
架線,カセン
乳せん,ニュウセン
遊山,ユサン
適訳,テキヤク
老朽,ロウキュウ
ネル,ネル
七七日,ナナナヌカ
部署,ブショ
皮剥,カワハギ
比,ヒ
瑠璃鳥,ルリチョウ
水酸化物,スイサンカブツ
ホップ,ホップ
礎,イシズエ
オバナ,オバナ
書下し,カキオロシ
厚手,アツデ
和毛,ニコゲ
切張,キリバリ
宿舎,シュクシャ
ふつー,フツー
南回帰線,ミナミカイキセン
フウチョウ,フウチョウ
クッパー,クッパー
小祠,ショウシ
五常,ゴジョウ
アルマジロ,アルマジロ
托生,タクショウ
日照り,ヒデリ
木蝋,モクロウ
システム,システム
三位,サンミ
フォロア,フォロア
軒並み,ノキナミ
桔梗,キキョウ
政情,セイジョウ
いらち,イラチ
黙然,モクゼン
連環,レンカン
メリケン粉,メリケンコ
ゲノム,ゲノム
粋狂,スイキョウ
転作,テンサク
鴛鴦夫婦,オシドリフウフ
筒親,ドウオヤ
宝祚,ホウソ
副手,フクシュ
知らん顔,シランカオ
空閑地,クウカンチ
楽器,ガッキ
二輪,ニリン
薬師如来,ヤクシニョライ
なしくずし,ナシクズシ
天秤棒,テンビンボウ
貝独楽,ベイゴマ
秒速,ビョウソク
Ａ５,エイゴ
長座,ナガザ
物体,ブッタイ
情趣,ジョウシュ
駸々,シンシン
朝風呂,アサブロ
父君,フクン
ハツカダイコン,ハツカダイコン
官金,カンキン
キット,キット
両性,リョウセイ
歓楽街,カンラクガイ
夜明かし,ヨアカシ
カメリア,カメリア
文苑,ブンエン
渋,シブ
縮織,チヂミオリ
応札,オウサツ
釈尊,シャクソン
恵比須,エビス
