仕舞い,シマイ
見栄,ミエ
白張,シラハリ
ピザパイ,ピザパイ
通り名,トオリナ
コッペパン,コッペパン
帝釈天,タイシャクテン
調子者,チョウシモノ
ＮＥＷＳ,ニュース
中,チュウ
中,ナカ
罪,ツミ
きも煎り,キモイリ
本石,ホンゴク
全国,ゼンコク
重工,ジュウコウ
山気,サンキ
山気,ヤマケ
山気,ヤマキ
孫の手,マゴノテ
暦数,レキスウ
絞り込み,シボリコミ
中音,チュウオン
常命,ジョウミョウ
浸出液,シンシュツエキ
方位,ホウイ
森閑,シンカン
前官礼遇,ゼンカンレイグウ
脱サラ,ダツサラ
類概念,ルイガイネン
クリーク,クリーク
司法官,シホウカン
ＳＳＴ,エスエスティー
箱書き,ハコガキ
曲名,キョクメイ
オリーブ,オリーブ
強電,キョウデン
肉ばなれ,ニクバナレ
以心伝心,イシンデンシン
切換え,キリカエ
犢鼻褌,フンドシ
ボンベ,ボンベ
腹這い,ハラバイ
平原,ヘイゲン
ニシキゴイ,ニシキゴイ
和漢混淆文,ワカンコンコウブン
順法,ジュンポウ
カフェイン,カフェイン
透き間,スキマ
ウドンゲ,ウドンゲ
懐かしさ,ナツカシサ
ニッコウキスゲ,ニッコウキスゲ
海鼠腸,コノワタ
黒色しゅ,コクショクシュ
三和音,サンワオン
ケイ,ケイ
貪慾,ドンヨク
自小作,ジコサク
山茶花,サザンカ
僻論,ヘキロン
惰力,ダリョク
椿,ツバキ
名乗,ナノリ
御言,ミコト
刈株,カリカブ
口角,コウカク
樋,トイ
樋,ヒ
宿所,シュクショ
さらし木綿,サラシモメン
